job_title,company_name,location,summary
Pyspark Data Engineer,Frontend Arts Inc,Carlsbad. CA,Demonstrated experience resolving complex data integration problems; 4+ years working experience in data integration and pipeline development.
Data Engineer,LatentView Analytics,San Jose. CA•Temporarily Remote,Big data: 3 years (Required). 3+ years of experience in working with big data and related technologies. LatentView Analytics is a leading global analytics and
Data Engineer,Bytedance,Mountain View. CA,Experience with performing data analysis. data ingestion and data integration; Experience with schema design. data modeling and SQL queries;
Data Engineer,Network Capital Funding Corporation,Irvine. CA,Utilized gathered data to generate tasks that can be automated to keep track of data/models/requirement changes. Development of data related/instruments.
Data Engineer,Morecommerce,Chico. CA,Develop protocols and manage the data governance process to promote data standards. data quality & data security. Benefits: medical. dental. vision. 401k.
Data Science Engineer,Ancestry,San Francisco. CA 94107 (South Beach area),Write new data pipeline jobs to retrieve and validate training data. This team provides data pipelines and data APIs to data scientists so they can make our
ML/Data Engineer (NO C2C!!),Braintrust,San Francisco. CA 94147 (Marina area)•Remote,Experience working with event data in a data lake. A self-service tool that allows data scientists. data engineers. and ML engineers on the Marketing Data
Data Engineer,Techwave Consulting Inc.,San Diego. CA 92101,Define data validation tests to run in the data pipeline. You and the team are responsible for building. deploying. maintaining. and optimizing the data
Data Engineer,Slalom Consulting,Silicon Valley. CA+1 location,You will design and build highly scalable and reliable modern data platforms including data lakes and data warehouse using Amazon Web Services. Azure. Google
Data Engineer 1. Product Lifecylce,Illumina,San Diego. CA,You will have opportunities to recommend and assist in data acquisition. data quality and reliability improvements and other areas to improve not only the data
Machine Learning/Data Science Engineer,Salesforce,Palo Alto. CA 94301 (Downtown North area)+1 location,Working with internal product teams to ingest their data and sprinkle machine/deep learning fairy dust on their products.
Data Engineer,California State University,San Diego. CA,This includes Student Information System data (SIMSR and Peoplesoft Campus Solutions). survey data. campus. and external data.
Data Engineer - 3786626,Accenture,Walnut Creek. CA+5 locations,1 year SQL. Python. Apache Airflow. pipeline creation. maintenance. data visualization. Accenture Flex employees work in their local metro area onsite at the
Data Engineer,SquareTrade,San Francisco. CA,Youve got a solid foundation: This role requires both a broad and deep understanding of data; you must have an advanced understanding of MPP databases. data
Data Engineer,Happiest Baby. Inc.,Los Angeles. CA 90016,As a data engineer. you will design. build and maintain Happiest Babys data lake. Work with data scientists and engineers to set up infrastructure to deploy AI
SSIS Data Engineer,MetroSys,Santa Barbara. CA,3+ years of experience in data warehouse and data migration. Demonstrated knowledge of cloud infrastructure. data lineage. and data quality pipelines.
Data Engineer,REX,Woodland Hills. CA 91367,As a data Engineer. you will build from scratch highly available and highly scalable data processing systems using AWS technologies. Kafka. Map-Reduce. Hive and
Data Analyst/Data Engineer,MT Global US INC,Foster City. CA 94404,* Owner of the core company data pipeline. responsible for scaling up data processing flow to meet the rapid data growth; 目前急招 Full-time.
Data Engineer,Stanford Health Care,Palo Alto. CA 94303,Provides guidance and training to less experienced data architects. Develops. tests. and deploys data structures using Entity Relationship Diagramming. SQL
Data Analytics Engineer,OpenTable,Los Angeles. CA,Participate in data strategy and road map exercises. business intelligence/data warehouse product selection. design and implementation.
Senior Full Stack Engineer - Data Visualization,Spin,San Francisco. CA•Remote,Being a data informed company. data helps us create exceptional experience for our customers and provide insights into the effectiveness of our product.
Data Engineer. Consultant,Blue Shield of California,Oakland. CA,An ideal candidate will have extensive knowledge of the data warehouse architecture. capabilities. system setup. data integration. data modeling concepts.
Senior Data Engineer,Sundae,California•Remote,Prior experience in data warehousing projects preferred. Experience in architecting data structures using Elastic Search and ElastiCache.
Senior Data Engineer. Data Platform,Peloton,Santa Clara. CA,Coach and mentor engineers across the engineering team to build a data culture. You have 5+ years of experience in engineering. especially data infrastructure
Data Engineer,motivity Labs,San Francisco Bay Area. CA•Temporarily Remote,Understanding of standard data quality metrics. Experience with BI Analytics and Data ETL (Extraction. Transformation. and Loading) with large amounts of data.
Data Engineer,motivity Labs,San Francisco Bay Area. CA•Temporarily Remote,Understanding of standard data quality metrics. Experience with BI Analytics and Data ETL (Extraction. Transformation. and Loading) with large amounts of data.
Data Engineer,AmeriHome Mortgage,Thousand Oaks. CA,Experience in data modeling. data warehousing and data visualization is a big plus. Data: Design. develop and maintain core databases that support the company
Software Engineer - Data and Simulation,Xwing,San Francisco. CA,Architect the data backbone for the Xwing fleet to advance the entire autonomy stack (perception. prediction. planning and controls).
Data Engineer [Remote],Blue Owl,San Francisco. CA•Remote,Experience with integrations and data warehousing using tools like redshift. Stong. hands-on experience with Python-centric code base and Python best practices.
Data Engineer. Core Automation Services,Tesla,Fremont. CA,Work with data engineers and data scientists to drive efficient solutions from the platform. Help define the data story and enable data-driven solutions at
Data Engineer,UJET,San Francisco. CA•Remote,Document and maintain data dictionary to empower a data democracy. Develop data tests for automation. Experience in building data pipelines.
Data Infrastructure Engineer,Johnson & Johnson Family of Companies,Redwood City. CA 94065 (Dolphin area)+1 location,Manage and create insightful data visualizations and dashboards. Work with internal teams to establish ETL and data cleansing processes.
